SupplierID,SupplierName,ContactName,Email,Phone,City
1,"Choudhury, Bakshi and Maharaj",Udant Dewan,chahalpahal@balan.com,8908386379,Mau
2,Dugal-Kale,Harsh Chanda,wchatterjee@lalla-bassi.info,6184959310,Salem
3,Mall-Setty,Nicholas Prabhakar,shaurya41@garg.com,6483503056,Rajpur Sonarpur
4,"Tata, Randhawa and Shanker",Alka Dewan,adyasangha@rastogi.com,1012269166,Begusarai
5,Contractor Ltd,Harini Choudhury,radhika27@lall.com,4893252880,Gorakhpur
6,Mohanty-Khatri,Wridesh Brar,sunderekapad@dass.net,4896383465,Shahjahanpur
7,Bhatt LLC,Victor Kannan,bobaldaniel@bir.com,8347382997,Bareilly
8,Sankar LLC,Nirja Sibal,chaudharidarsh@nori-chopra.com,3872624731,Panvel
9,Chander and Sons,Niharika Sunder,zkala@gala.com,4746872343,Satara
10,Bedi PLC,Yadavi Wali,daksheshtrivedi@grewal.org,3619399091,Bhilwara
11,Murthy and Sons,Meghana Deep,tanvi51@shanker.org,1838425135,Pudukkottai
12,"Wadhwa, Anand and Mistry",Krish Lalla,chhabranachiket@manda-kade.com,4874016400,Mango
13,"Sane, Andra and Choudhury",Manthan Banik,manbir62@morar.com,3315869232,Thoothukudi
14,Kothari-Loke,Hritik Raja,singhaltristan@sharma.com,3036541458,Bhiwandi
15,Gokhale-Lanka,Ikbal Saraf,dipta69@dalia.com,6088356159,Alappuzha
16,Rau-Merchant,Rehaan Salvi,nghosh@mitra.com,3699577738,Kottayam
17,"Nayak, Chander and Keer",Umang Issac,aryanbatra@soman.com,6936763201,Dhanbad
18,"Krish, Dara and Shan",Ucchal Wali,saanvi98@sehgal-dutt.info,4348734714,Panvel
19,Devi and Sons,Leela Dua,devanshsachdeva@narayanan-shukla.biz,3669096705,Morbi
20,Mahajan Group,Ayush Ramachandran,nidhi27@walla.biz,1627204653,Alwar
21,Krishnan-Bumb,Anirudh Zacharia,pallaudarsh@biswas.com,923271937,Ujjain
22,Chokshi-Bal,Keya Ranganathan,faqidkibe@mitra.org,9058651850,Mirzapur
23,"Sharaf, Dua and Saran",Anamika Yohannan,bshroff@loyal.com,7379965075,Rampur
24,Mammen-Majumdar,Zansi Halder,khurananiharika@khosla-soni.info,143634957,Jamalpur
25,Pandey-Setty,Damini Krishnamurthy,jaihans@dar-wason.com,3749894134,Kanpur
26,"Walla, Date and Mahal",Chatura Master,vrittichauhan@mane.info,5204711671,Phusro
27,Chada-Kothari,Omaja Kara,cseshadri@sanghvi-mody.org,9133412328,Hospet
28,"Singhal, Manne and Bali",Bhavya Mandal,rbobal@lalla.org,6183242102,Bahraich
29,Sidhu Ltd,Neha Magar,fsarma@baral.org,139904902,Bokaro
30,"Sarin, Swamy and Chand",Ijaya Rege,ekani12@sabharwal-tandon.com,8071545168,Meerut
