CustomerID,FirstName,LastName,Email,Phone,City,State,RegistrationDate
1,Michael,Borra,  michael.borra1@example.com ,7799799552,Avadi,Uttar Pradesh,2022-05-03
2,Daksh,Pandey,  daksh.pandey2@example.com ,4770054119,Amaravati,Nagaland,2020-05-07
3,Shivani,Guha,  shivani.guha3@example.com ,9782071518,Bahraich,Mizoram,2024-06-12
4,Nathan,Patla,  nathan.patla4@example.com ,4665905151,Madanapalle,West Bengal,2021-04-12
5,Gauri,Bumb,  gauri.bumb5@example.com ,5462914865,Danapur,Kerala,2020-02-26
6,Janani,More,  janani.more6@example.com ,3573322141,Naihati,Tripura,2021-02-11
7,Krisha,Dube,KRISHA.DUBE7@EXAMPLE.COM,2927065379,Tirupati,Uttar Pradesh,2023-12-28
8,Rishi,Pillai,  rishi.pillai8@example.com ,7468862392,Begusarai,Bihar,2024-05-21
9,Jeet,Mane,  jeet.mane9@example.com ,2478261375,Ambala,Kerala,2022-01-02
10,Libni,Bumb,  libni.bumb10@example.com ,3051522047,Vijayawada,Andhra Pradesh,2022-03-06
11,Tanveer,Doctor,  tanveer.doctor11@example.com ,1434103697,Kottayam,Odisha,2022-01-21
12,Maanas,Manne,  maanas.manne12@example.com ,,Mumbai,Punjab,2023-01-01
13,Wridesh,Saha,  wridesh.saha13@example.com ,1851888880,Dindigul,Himachal Pradesh,2020-02-20
14,Ishanvi,Bir,  ishanvi.bir14@example.com ,3195205852,Rajkot,Tamil Nadu,2023-11-22
15,Balhaar,Memon,  balhaar.memon15@example.com ,0305486874,Nashik,West Bengal,2022-10-28
16,Anjali,Dash,  anjali.dash16@example.com ,,Junagadh,Madhya Pradesh,2023-09-28
17,Libni,Nori,  libni.nori17@example.com ,7758416169,Kota,Assam,2022-10-15
18,Chakrika,Mohan,  chakrika.mohan18@example.com ,9627570596,Bharatpur,Mizoram,2021-05-12
19,Azaan,Dhar,  azaan.dhar19@example.com ,0213556909,Raiganj,Tripura,2020-08-26
20,Laksh,Wagle,  laksh.wagle20@example.com ,6543102786,Amroha,Gujarat,2022-06-06
21,Vritti,Iyengar,  vritti.iyengar21@example.com ,2172715518,Akola,Uttar Pradesh,2023-01-28
22,Yashoda,Kapur,  yashoda.kapur22@example.com ,3237058957,Amritsar,Jharkhand,2023-05-22
23,Varenya,Vora,  varenya.vora23@example.com ,6912517785,Bikaner,Maharashtra,2024-04-11
24,Christopher,Dash,  christopher.dash24@example.com ,4225358414,Avadi,Punjab,2024-07-15
